timestamp,session_id,policy,workload,task_clock,context_switches,cpu_migrations,cycles,instructions,branches,branch_misses
1767219120,2025-12-31_A,cfs,pulse,5015.88,112,0,11937263745,33424725832,5512819259,563935
1767219130,2025-12-31_A,cfs,pulse,5016.15,113,1,11941047437,33517341476,5528076684,556218
1767219140,2025-12-31_A,cfs,pulse,5016.01,115,0,11881636319,33321434328,5495702884,558795
1767219150,2025-12-31_A,cfs,pulse,5015.50,161,0,11935853666,33478395029,5521594645,556236
1767219160,2025-12-31_A,cfs,pulse,5015.31,165,0,11897625044,33389229227,5506888567,550652
1767219170,2025-12-31_A,cfs,pulse,5016.15,140,1,11937619040,33505166436,5526004270,558493
1767219180,2025-12-31_A,cfs,pulse,5016.74,117,1,11938996489,33496154834,5524510939,556625
1767219190,2025-12-31_A,cfs,pulse,5016.72,106,1,11955993983,33049203399,5450815855,555175
1767219200,2025-12-31_A,cfs,pulse,5015.50,159,1,11893993076,33274661995,5488010209,554646
1767219210,2025-12-31_A,cfs,pulse,5016.08,146,1,11937329774,33360849783,5502208121,554689
1767219220,2025-12-31_A,cfs,pulse,5016.18,63,0,11938655938,33498667246,5525030007,554658
1767219231,2025-12-31_A,cfs,pulse,5016.59,28,0,11870275853,33149753772,5467511765,555872
1767219241,2025-12-31_A,cfs,pulse,5015.66,42,0,11936724759,33498223829,5524959148,557843
1767219251,2025-12-31_A,cfs,pulse,5015.86,78,0,11958892976,33540343190,5531917419,552814
1767219261,2025-12-31_A,cfs,pulse,5015.74,112,1,11948565724,33540888139,5532006595,559752
1767219271,2025-12-31_A,cfs,pulse,5014.97,149,1,11934747375,33471563754,5520586451,563961
1767219281,2025-12-31_A,rr,pulse,5024.22,26,0,11957422450,33505304432,5526538969,681035
1767219291,2025-12-31_A,rr,pulse,5024.85,24,0,11543015876,32325869086,5332105572,691150
1767219301,2025-12-31_A,rr,pulse,5024.44,63,2,11972604475,33551250391,5534124326,683030
1767219311,2025-12-31_A,rr,pulse,5024.49,16,1,11904804743,33297099464,5492212028,683015
1767219321,2025-12-31_A,rr,pulse,5024.60,25,1,11955103110,33517507954,5528525303,686199
1767219331,2025-12-31_A,rr,pulse,5024.56,21,3,11969642801,33425286339,5513238986,682989
1767219341,2025-12-31_A,rr,pulse,5024.46,30,2,11948246166,33476895942,5521743939,688180
1767219351,2025-12-31_A,rr,pulse,5024.65,32,0,11956316020,33495892767,5524881648,687099
1767219361,2025-12-31_A,rr,pulse,5024.81,28,0,11912795040,33361204088,5502659288,685126
1767219371,2025-12-31_A,rr,pulse,5024.80,23,1,11957665375,33511837662,5527500874,683388
1767219381,2025-12-31_A,rr,pulse,5026.35,24,1,11900592411,33150701832,5468012935,688568
1767219391,2025-12-31_A,rr,pulse,5024.28,30,2,11972474292,33575352244,5538042763,685808
1767219401,2025-12-31_A,rr,pulse,5025.05,19,0,11921353913,33143593954,5466872071,689752
1767219411,2025-12-31_A,rr,pulse,5024.55,22,1,11941005980,33341743356,5499534319,679461
1767219421,2025-12-31_A,rr,pulse,5025.97,29,2,11986815192,33589266706,5540386869,682622
1767219432,2025-12-31_A,rr,pulse,5033.75,28,1,11934926526,33465521989,5519990359,687774
1767219442,2025-12-31_A,rr,pulse,5024.50,22,1,11957847879,33529723778,5530566071,684009
1767219452,2025-12-31_A,rr,pulse,5024.37,25,1,11960780860,33394768674,5508313867,676483
1767219462,2025-12-31_A,rr,pulse,5024.91,24,1,11501071802,32236441715,5317359078,689794
1767219472,2025-12-31_A,rr,pulse,5024.30,41,2,11957433301,33494873977,5524825353,685239
1767219482,2025-12-31_A,rr,pulse,5024.42,27,1,11957923269,33243474815,5483380772,683717
1767219492,2025-12-31_A,rr,pulse,5024.75,26,1,11909026999,33369568410,5504166196,687073
1767219502,2025-12-31_A,rr,pulse,5025.60,34,2,11960434602,33501064470,5525851826,690639
1767219512,2025-12-31_A,rr,pulse,5024.43,39,2,11957881728,33538950709,5531972100,686577
1767219522,2025-12-31_A,rr,pulse,5024.60,25,2,11979759064,33590923811,5540548945,689288
1767219532,2025-12-31_A,rr,pulse,5024.30,27,1,11952505899,33492980523,5524395086,681231
1767219542,2025-12-31_A,rr,pulse,5024.34,29,1,11956368851,33512949516,5527767580,683507
1767219552,2025-12-31_A,rr,pulse,5024.56,26,1,11958284859,33487741381,5523608442,689185
1767219562,2025-12-31_A,rr,pulse,5025.75,24,0,12011853469,33664686522,5552782111,682832
1767219572,2025-12-31_A,rr,pulse,5032.12,22,1,12010336326,33678742207,5555091703,687561
1767219582,2025-12-31_A,fifo,pulse,5024.92,27,2,11959156096,33527577741,5530176599,683958
1767219592,2025-12-31_A,fifo,pulse,5024.89,25,0,11959020311,33530626755,5530676242,685492
1767219602,2025-12-31_A,fifo,pulse,5024.79,18,0,11957491975,33493249901,5524560244,688558
1767219613,2025-12-31_A,fifo,pulse,5024.60,25,2,11580373408,32474044396,5356532316,684211
1767219623,2025-12-31_A,fifo,pulse,5024.33,24,1,12030315784,33723095191,5562447395,685046
1767219633,2025-12-31_A,fifo,pulse,5024.69,26,0,11565393544,32432463970,5349681278,683742
1767219643,2025-12-31_A,fifo,pulse,5024.60,20,0,11957558495,33508535742,5527081339,688554
1767219653,2025-12-31_A,fifo,pulse,5024.50,23,1,11955599134,33492910017,5524491606,686227
1767219663,2025-12-31_A,fifo,pulse,5023.84,83,1,11949199153,32852023333,5418857669,683944
1767219673,2025-12-31_A,fifo,pulse,5024.81,34,2,11905497155,33364348189,5503320248,692889
1767219683,2025-12-31_A,fifo,pulse,5024.30,28,2,11957511919,33504829725,5526467499,681801
1767219693,2025-12-31_A,fifo,pulse,5024.26,31,0,11927496046,33313017634,5494854418,687640
1767219703,2025-12-31_A,fifo,pulse,5025.23,25,1,11975561822,33521552330,5529190559,689738
1767219713,2025-12-31_A,fifo,pulse,5024.47,45,2,11957992743,33503838581,5526269467,690191
1767219723,2025-12-31_A,fifo,pulse,5024.58,29,2,11948128023,33419520277,5512364538,684764
1767219733,2025-12-31_A,fifo,pulse,5024.66,23,2,11901918169,33354495635,5501637517,685865
1767219743,2025-12-31_A,fifo,pulse,5024.42,27,2,11957925156,33518342737,5528663290,685857
1767219753,2025-12-31_A,fifo,pulse,5025.15,26,2,11959557544,33395599856,5508425370,683709
1767219763,2025-12-31_A,fifo,pulse,5024.61,22,0,11972974561,33565488184,5536419300,682680
1767219773,2025-12-31_A,fifo,pulse,5024.50,31,1,11907450867,33355990348,5501830374,684845
1767219783,2025-12-31_A,fifo,pulse,5024.90,27,2,11958892063,33525251497,5529705304,686268
1767219793,2025-12-31_A,fifo,pulse,5024.38,22,1,11957845703,33256202260,5485473049,682258
1767219804,2025-12-31_A,fifo,pulse,5026.45,20,1,11935467758,33416271526,5511873478,688724
1767219814,2025-12-31_A,fifo,pulse,5024.39,22,1,11957853662,33388944570,5507364185,684992
1767219824,2025-12-31_A,fifo,pulse,5024.51,21,1,11960296005,33508993730,5527149970,685397
1767219834,2025-12-31_A,fifo,pulse,5024.56,19,1,11954618817,33494756938,5524805534,686010
1767219844,2025-12-31_A,fifo,pulse,5024.60,17,1,11958248740,33514091590,5528001827,686114
1767219854,2025-12-31_A,fifo,pulse,5026.02,19,2,11995785568,33629351464,5547000325,694375
1767219864,2025-12-31_A,fifo,pulse,5033.60,18,2,11943893068,33459763865,5519031891,684462
1767219874,2025-12-31_A,fifo,pulse,5024.62,21,1,11958377250,33530291408,5530660917,691557
1767219884,2025-12-31_A,cfs,yield,9974.09,1139,1,23881230743,62640435907,10548759351,627522
1767219894,2025-12-31_A,cfs,yield,9973.50,1261,0,23931718684,62695660563,10558089626,628423
1767219904,2025-12-31_A,cfs,yield,9974.08,1229,0,23933187831,62761114094,10569096596,626975
1767219914,2025-12-31_A,cfs,yield,9974.26,1302,0,23933441413,62764514389,10569669112,631592
1767219924,2025-12-31_A,cfs,yield,9974.13,1276,1,23933188646,62770642616,10570580148,621047
1767219934,2025-12-31_A,cfs,yield,9974.00,1252,1,23932904641,62665492171,10552868363,622116
1767219944,2025-12-31_A,cfs,yield,9973.98,1207,0,23933027988,62761098787,10568961801,620636
1767219954,2025-12-31_A,cfs,yield,9974.87,1210,0,23935131756,62713827649,10561006702,619362
1767219964,2025-12-31_A,cfs,yield,9973.92,1260,0,23932688713,62400223327,10508226473,617395
